"","value","date"
"1",6.81,2013-01-02
"2",6.97,2013-01-03
"3",6.97,2013-01-04
"4",6.94,2013-01-07
"5",6.95,2013-01-08
"6",6.97,2013-01-09
"7",7.15,2013-01-10
"8",7.1,2013-01-11
"9",7.1,2013-01-14
"10",7.24,2013-01-15
"11",7.4,2013-01-16
"12",7.44,2013-01-17
"13",7.37,2013-01-18
"14",7.34,2013-01-22
"15",7.42,2013-01-23
"16",7.46,2013-01-24
"17",7.52,2013-01-25
"18",7.56,2013-01-27
"19",7.56,2013-01-28
"20",7.7,2013-01-29
"21",7.83,2013-01-30
"22",7.82,2013-02-01
"23",7.62,2013-02-04
"24",7.48,2013-02-05
"25",7.6,2013-02-06
"26",7.6,2013-02-07
"27",7.57,2013-02-08
"28",7.55,2013-02-13
"29",7.56,2013-02-14
"30",7.61,2013-02-15
"31",7.6,2013-02-18
"32",7.71,2013-02-19
"33",7.73,2013-02-21
"34",7.7,2013-02-25
"35",7.72,2013-02-26
"36",7.72,2013-02-27
"37",7.74,2013-02-28
"38",7.74,2013-03-01
"39",7.73,2013-03-04
"40",7.72,2013-03-05
"41",7.73,2013-03-06
"42",7.72,2013-03-07
"43",7.73,2013-03-08
"44",7.72,2013-03-11
"45",7.74,2013-03-12
"46",7.82,2013-03-13
"47",7.89,2013-03-14
"48",7.95,2013-03-15
"49",7.98,2013-03-18
"50",8.17,2013-03-19
"51",8.65,2013-03-20
"52",8.4,2013-03-21
"53",8.25,2013-03-25
"54",8.2,2013-03-26
"55",8.37,2013-03-27
"56",8.2,2013-04-03
"57",8.22,2013-04-04
"58",8.3,2013-04-05
"59",8.23,2013-04-08
"60",8.27,2013-04-09
"61",8.29,2013-04-10
"62",8.34,2013-04-11
"63",8.33,2013-04-12
"64",8.32,2013-04-15
"65",8.42,2013-04-16
"66",8.6,2013-04-17
"67",8.56,2013-04-18
"68",8.53,2013-04-19
"69",8.57,2013-04-22
"70",8.76,2013-04-23
"71",8.84,2013-04-24
"72",9.1,2013-04-25
"73",9.24,2013-04-26
"74",9.2,2013-04-29
"75",9.3,2013-04-30
"76",9.53,2013-05-02
"77",9.78,2013-05-03
"78",9.77,2013-05-06
"79",9.98,2013-05-07
"80",10.35,2013-05-08
"81",9.93,2013-05-09
"82",9.93,2013-05-10
"83",9.93,2013-05-13
"84",9.1,2013-05-14
"85",8.95,2013-05-15
"86",8.85,2013-05-16
"87",8.85,2013-05-17
"88",8.8,2013-05-20
"89",8.48,2013-05-21
"90",8.33,2013-05-22
"91",8.7,2013-05-23
"92",8.85,2013-05-24
"93",8.82,2013-05-27
"94",8.78,2013-05-28
"95",8.78,2013-05-29
"96",8.77,2013-05-30
"97",8.7,2013-05-31
"98",8.5,2013-06-03
"99",8.4,2013-06-04
"100",8.45,2013-06-05
"101",8.47,2013-06-06
"102",8.47,2013-06-07
"103",8.47,2013-06-10
"104",8.47,2013-06-11
"105",8.47,2013-06-12
"106",8.47,2013-06-13
"107",8.47,2013-06-14
"108",8.47,2013-06-17
"109",8.47,2013-06-18
"110",8.47,2013-06-19
"111",7.95,2013-06-24
"112",8.03,2013-06-25
"113",8.03,2013-06-26
"114",8.03,2013-06-27
"115",8.03,2013-06-28
"116",7.95,2013-07-01
"117",7.83,2013-07-02
"118",7.85,2013-07-03
"119",7.88,2013-07-04
"120",7.86,2013-07-05
"121",7.88,2013-07-08
"122",7.99,2013-07-10
"123",8.1,2013-07-11
"124",8.2,2013-07-12
"125",8.48,2013-07-15
"126",8.65,2013-07-16
"127",8.75,2013-07-17
"128",8.75,2013-07-22
"129",8.56,2013-07-23
"130",8.56,2013-07-29
"131",8.53,2013-07-30
"132",8.54,2013-07-31
"133",8.46,2013-08-05
"134",8.8,2013-08-08
"135",8.72,2013-08-09
"136",8.65,2013-08-12
"137",8.69,2013-08-13
"138",8.84,2013-08-14
"139",8.85,2013-08-15
"140",8.85,2013-08-16
"141",8.87,2013-08-20
"142",8.94,2013-08-21
"143",9.04,2013-08-22
"144",9.1,2013-08-23
"145",9.1,2013-08-26
"146",9.42,2013-08-27
"147",9.4,2013-08-28
"148",9.2,2013-09-02
"149",9.17,2013-09-05
"150",9.2,2013-09-06
"151",9.06,2013-09-10
"152",9.15,2013-09-11
"153",9.16,2013-09-12
"154",9.2,2013-09-16
"155",9.2,2013-09-17
"156",9.23,2013-09-18
"157",9.25,2013-09-19
"158",9.3,2013-09-20
"159",9.3,2013-09-23
"160",9.32,2013-09-24
"161",9.46,2013-09-25
"162",9.44,2013-09-26
"163",9.44,2013-09-30
"164",9.44,2013-10-01
"165",9.44,2013-10-02
"166",9.5,2013-10-03
"167",9.48,2013-10-08
"168",9.62,2013-10-10
"169",9.72,2013-10-15
"170",9.5,2013-10-16
"171",9.8,2013-10-21
"172",9.9,2013-10-22
"173",10,2013-10-25
"174",9.98,2013-10-28
"175",9.82,2013-10-29
"176",9.82,2013-10-30
"177",9.88,2013-10-31
"178",9.83,2013-11-05
"179",9.77,2013-11-11
"180",9.73,2013-11-12
"181",9.72,2013-11-13
"182",9.76,2013-11-14
"183",9.77,2013-11-19
"184",9.82,2013-11-20
"185",9.83,2013-11-21
"186",9.82,2013-11-26
"187",9.71,2013-11-27
"188",9.53,2013-11-28
"189",9.08,2013-12-02
"190",9.2,2013-12-03
"191",9.5,2013-12-04
"192",9.4,2013-12-05
"193",9.4,2013-12-09
"194",9.48,2013-12-10
"195",9.45,2013-12-11
"196",9.47,2013-12-12
"197",9.45,2013-12-13
"198",9.5,2013-12-16
"199",9.63,2013-12-19
"200",9.55,2013-12-20
"201",9.55,2013-12-23
"202",9.6,2013-12-26
"203",9.82,2013-12-27
"204",9.9,2013-12-30
"205",9.9,2014-01-02
"206",10.07,2014-01-03
"207",10.2,2014-01-06
"208",10.8,2014-01-07
"209",10.6,2014-01-08
"210",10.7,2014-01-09
"211",10.7,2014-01-10
"212",10.69,2014-01-13
"213",10.85,2014-01-14
"214",11.11,2014-01-15
"215",11.31,2014-01-16
"216",11.7,2014-01-17
"217",11.55,2014-01-20
"218",11.75,2014-01-21
"219",12.05,2014-01-22
"220",12.9,2014-01-23
"221",11.6,2014-01-24
"222",12.05,2014-01-27
"223",12.4,2014-01-28
"224",12.8,2014-01-29
"225",12.65,2014-01-30
"226",12.55,2014-01-31
"227",12.45,2014-02-03
"228",12.45,2014-02-04
"229",12.4,2014-02-05
"230",12.3,2014-02-06
"231",12.15,2014-02-07
"232",11.75,2014-02-10
"233",11.65,2014-02-11
"234",11.73,2014-02-12
"235",12.1,2014-02-13
"236",11.95,2014-02-14
"237",11.775,2014-02-15
"238",11.85,2014-02-16
"239",11.72,2014-02-17
"240",11.78,2014-02-18
"241",11.79,2014-02-19
"242",11.8,2014-02-20
"243",11.8,2014-02-21
"244",11.8,2014-02-22
"245",11.8,2014-02-23
"246",11.775,2014-02-24
"247",11.7,2014-02-25
"248",11.65,2014-02-26
"249",11.55,2014-02-27
"250",11.45,2014-02-28
"251",11.25,2014-03-01
"252",11.25,2014-03-02
"253",11.25,2014-03-03
"254",11.25,2014-03-04
"255",11.25,2014-03-05
"256",10.6,2014-03-06
"257",11,2014-03-07
"258",11.05,2014-03-08
"259",11.05,2014-03-09
"260",11.05,2014-03-10
"261",10.95,2014-03-11
"262",10.85,2014-03-12
"263",10.85,2014-03-13
"264",10.95,2014-03-14
"265",10.95,2014-03-15
"266",10.95,2014-03-16
"267",10.95,2014-03-17
"268",10.9,2014-03-18
"269",10.9,2014-03-19
"270",10.9,2014-03-20
"271",10.95,2014-03-21
"272",10.9,2014-03-22
"273",10.9,2014-03-23
"274",10.925,2014-03-24
"275",10.9,2014-03-25
"276",10.9,2014-03-26
"277",10.9,2014-03-27
"278",10.85,2014-03-28
"279",10.85,2014-03-29
"280",10.85,2014-03-30
"281",10.85,2014-03-31
"282",10.8,2014-04-01
"283",10.8,2014-04-02
"284",10.8,2014-04-03
"285",10.75,2014-04-04
"286",10.7,2014-04-05
"287",10.7,2014-04-06
"288",10.7,2014-04-07
"289",10.6,2014-04-08
"290",10.34,2014-04-09
"291",10.3,2014-04-10
"292",10.3,2014-04-11
"293",10.38,2014-04-12
"294",10.38,2014-04-13
"295",10.38,2014-04-14
"296",10.38,2014-04-15
"297",10.4,2014-04-16
"298",10.4,2014-04-17
"299",10.4,2014-04-18
"300",10.4,2014-04-19
"301",10.4,2014-04-20
"302",10.4,2014-04-21
"303",10.4,2014-04-22
"304",10.4,2014-04-23
"305",10.55,2014-04-24
"306",10.6,2014-04-25
"307",10.75,2014-04-26
"308",10.75,2014-04-27
"309",10.75,2014-04-28
"310",10.7,2014-04-29
"311",10.6,2014-04-30
"312",10.525,2014-05-01
"313",10.525,2014-05-02
"314",10.55,2014-05-03
"315",10.55,2014-05-04
"316",10.55,2014-05-05
"317",10.5,2014-05-06
"318",10.55,2014-05-07
"319",10.715,2014-05-08
"320",10.73,2014-05-09
"321",10.7,2014-05-10
"322",10.7,2014-05-11
"323",10.7,2014-05-12
"324",10.7,2014-05-13
"325",10.8,2014-05-14
"326",10.75,2014-05-15
"327",10.925,2014-05-16
"328",11.05,2014-05-17
"329",11.05,2014-05-18
"330",11.05,2014-05-19
"331",11.3,2014-05-20
"332",11.7,2014-05-21
"333",11.9,2014-05-22
"334",11.8,2014-05-23
"335",11.37,2014-05-24
"336",11.37,2014-05-25
"337",11.4,2014-05-26
"338",11.6,2014-05-27
"339",11.75,2014-05-28
"340",11.8,2014-05-29
"341",11.7,2014-05-30
"342",11.4,2014-05-31
"343",11.4,2014-06-01
"344",11.4,2014-06-02
"345",11.4,2014-06-03
"346",11.55,2014-06-04
"347",11.55,2014-06-05
"348",11.55,2014-06-06
"349",11.55,2014-06-07
"350",11.55,2014-06-08
"351",11.55,2014-06-09
"352",11.55,2014-06-10
"353",11.6,2014-06-11
"354",11.6,2014-06-12
"355",11.7,2014-06-13
"356",11.65,2014-06-14
"357",11.65,2014-06-15
"358",11.7,2014-06-16
"359",11.85,2014-06-17
"360",12.2,2014-06-18
"361",12.3,2014-06-19
"362",12.4,2014-06-20
"363",12.4,2014-06-21
"364",12.4,2014-06-22
"365",12.4,2014-06-23
"366",11.8,2014-06-24
"367",12,2014-06-25
"368",12.05,2014-06-26
"369",12.05,2014-06-27
"370",12.15,2014-06-28
"371",12.15,2014-06-29
"372",12.15,2014-06-30
"373",12.15,2014-07-01
"374",12.05,2014-07-02
"375",11.95,2014-07-03
"376",11.95,2014-07-04
"377",11.95,2014-07-05
"378",11.95,2014-07-06
"379",11.95,2014-07-07
"380",11.95,2014-07-08
"381",12,2014-07-09
"382",12,2014-07-10
"383",12,2014-07-11
"384",11.9,2014-07-12
"385",11.9,2014-07-13
"386",11.9,2014-07-14
"387",12,2014-07-15
"388",12.1,2014-07-16
"389",12.2,2014-07-17
"390",12.25,2014-07-18
"391",12.25,2014-07-19
"392",12.25,2014-07-20
"393",12.25,2014-07-21
"394",12.27,2014-07-22
"395",12.5,2014-07-23
"396",12.6,2014-07-24
"397",12.55,2014-07-25
"398",12.6,2014-07-26
"399",12.6,2014-07-27
"400",12.6,2014-07-28
"401",12.9,2014-07-29
"402",12.8,2014-07-30
"403",12.35,2014-07-31
"404",12.725,2014-08-01
"405",12.75,2014-08-02
"406",12.8,2014-08-03
"407",12.8,2014-08-04
"408",12.7,2014-08-05
"409",12.7,2014-08-06
"410",12.8,2014-08-07
"411",12.8,2014-08-08
"412",12.8,2014-08-09
"413",12.8,2014-08-10
"414",12.8,2014-08-11
"415",12.8,2014-08-12
"416",12.95,2014-08-13
"417",13.15,2014-08-14
"418",13.2,2014-08-15
"419",13.2,2014-08-16
"420",13.2,2014-08-17
"421",13.2,2014-08-18
"422",13.2,2014-08-19
"423",13.2,2014-08-20
"424",13.55,2014-08-21
"425",13.95,2014-08-22
"426",13.88,2014-08-23
"427",13.79,2014-08-24
"428",13.88,2014-08-25
"429",13.98,2014-08-26
"430",14.2,2014-08-27
"431",14.38,2014-08-28
"432",14.38,2014-08-29
"433",14.05,2014-08-30
"434",14.05,2014-08-31
"435",14.05,2014-09-01
"436",14.2,2014-09-02
"437",14.25,2014-09-03
"438",14.2,2014-09-04
"439",14,2014-09-05
"440",14,2014-09-06
"441",14,2014-09-07
"442",14,2014-09-08
"443",14.175,2014-09-09
"444",14.25,2014-09-10
"445",14.25,2014-09-11
"446",14.255,2014-09-12
"447",14.35,2014-09-13
"448",14.3,2014-09-14
"449",14.35,2014-09-15
"450",14.45,2014-09-16
"451",14.7,2014-09-17
"452",15.05,2014-09-18
"453",15,2014-09-19
"454",15,2014-09-20
"455",15,2014-09-21
"456",15,2014-09-22
"457",15.15,2014-09-23
"458",15.42,2014-09-24
"459",15.8,2014-09-25
"460",15.75,2014-09-26
"461",15.75,2014-09-27
"462",15.75,2014-09-28
"463",15.75,2014-09-29
"464",15.67,2014-09-30
"465",15.67,2014-10-01
"466",15.6,2014-10-02
"467",15.5,2014-10-03
"468",15.235,2014-10-04
"469",15.3,2014-10-05
"470",15.17,2014-10-06
"471",14.95,2014-10-07
"472",14.7,2014-10-08
"473",14.65,2014-10-09
"474",14.83,2014-10-10
"475",14.89,2014-10-11
"476",14.95,2014-10-12
"477",14.89,2014-10-13
"478",14.83,2014-10-14
"479",14.77,2014-10-15
"480",14.67,2014-10-16
"481",14.65,2014-10-17
"482",14.675,2014-10-18
"483",14.7,2014-10-19
"484",14.7,2014-10-20
"485",14.69,2014-10-21
"486",14.7,2014-10-22
"487",14.69,2014-10-23
"488",14.69,2014-10-24
"489",14.65,2014-10-25
"490",14.65,2014-10-26
"491",14.68,2014-10-27
"492",14.68,2014-10-28
"493",14.62,2014-10-29
"494",14.53,2014-10-30
"495",14.3,2014-10-31
"496",14.28,2014-11-01
"497",14.28,2014-11-02
"498",14.28,2014-11-03
"499",13.9,2014-11-04
"500",13.55,2014-11-05
"501",13.5,2014-11-06
"502",13.5,2014-11-07
"503",13.1,2014-11-08
"504",13.1,2014-11-09
"505",13.1,2014-11-10
"506",12.65,2014-11-11
"507",13.15,2014-11-12
"508",13.65,2014-11-13
"509",13.4,2014-11-14
"510",13.38,2014-11-15
"511",13.38,2014-11-16
"512",13.38,2014-11-17
"513",13.48,2014-11-18
"514",13.55,2014-11-19
"515",13.55,2014-11-20
"516",13.5,2014-11-21
"517",13.38,2014-11-22
"518",13.38,2014-11-23
"519",13.38,2014-11-24
"520",13.38,2014-11-25
"521",13.35,2014-11-26
"522",13.3,2014-11-27
"523",13.2,2014-11-28
"524",13.1,2014-11-29
"525",13.1,2014-11-30
"526",13.1,2014-12-01
"527",13,2014-12-02
"528",13,2014-12-03
"529",13.05,2014-12-04
"530",12.92,2014-12-05
"531",12.78,2014-12-06
"532",12.78,2014-12-07
"533",12.78,2014-12-08
"534",12.78,2014-12-09
"535",12.78,2014-12-10
"536",12.76,2014-12-11
"537",12.76,2014-12-12
"538",12.85,2014-12-13
"539",12.85,2014-12-14
"540",12.85,2014-12-15
"541",13.17,2014-12-16
"542",13.15,2014-12-17
"543",13.1,2014-12-18
"544",13.15,2014-12-19
"545",13.1,2014-12-20
"546",13.1,2014-12-21
"547",13.15,2014-12-22
"548",13.18,2014-12-23
"549",13.38,2014-12-24
"550",13.38,2014-12-25
"551",13.38,2014-12-26
"552",13.38,2014-12-27
"553",13.38,2014-12-28
"554",13.4,2014-12-29
"555",13.73,2014-12-30
"556",13.8,2014-12-31
"557",13.8,2015-01-01
"558",13.8,2015-01-02
"559",13.85,2015-01-03
"560",13.85,2015-01-04
"561",13.85,2015-01-05
"562",13.75,2015-01-06
"563",13.78,2015-01-07
"564",13.78,2015-01-08
"565",13.77,2015-01-09
"566",13.77,2015-01-10
"567",13.77,2015-01-11
"568",13.77,2015-01-12
"569",13.65,2015-01-13
"570",13.6,2015-01-14
"571",13.62,2015-01-15
"572",13.62,2015-01-16
"573",13.59,2015-01-17
"574",13.59,2015-01-18
"575",13.62,2015-01-19
"576",13.65,2015-01-20
"577",13.65,2015-01-21
"578",13.65,2015-01-22
"579",13.67,2015-01-23
"580",13.67,2015-01-24
"581",13.67,2015-01-25
"582",13.66,2015-01-26
"583",13.65,2015-01-27
"584",13.65,2015-01-28
"585",13.65,2015-01-29
"586",13.6,2015-01-30
"587",13.6,2015-01-31
"588",13.6,2015-02-01
"589",13.6,2015-02-02
"590",13.38,2015-02-03
"591",13.3,2015-02-04
"592",13.3,2015-02-05
"593",13.25,2015-02-06
"594",13.2,2015-02-07
"595",13.2,2015-02-08
"596",13.2,2015-02-09
"597",13.18,2015-02-10
"598",13.18,2015-02-11
"599",13.15,2015-02-12
"600",13.12,2015-02-13
"601",13.19,2015-02-14
"602",13.19,2015-02-15
"603",13.19,2015-02-16
"604",13.19,2015-02-17
"605",13.12,2015-02-18
"606",13,2015-02-19
"607",12.9,2015-02-20
"608",13.02,2015-02-21
"609",13.02,2015-02-22
"610",13.02,2015-02-23
"611",13.11,2015-02-24
"612",13.15,2015-02-25
"613",13.16,2015-02-26
"614",13.11,2015-02-27
"615",13.11,2015-02-28
"616",13.11,2015-03-01
"617",13.05,2015-03-02
"618",13,2015-03-03
"619",12.93,2015-03-04
"620",12.93,2015-03-05
"621",12.85,2015-03-06
"622",12.81,2015-03-07
"623",12.81,2015-03-08
"624",12.81,2015-03-09
"625",12.76,2015-03-10
"626",12.76,2015-03-11
"627",12.82,2015-03-12
"628",12.92,2015-03-13
"629",12.96,2015-03-14
"630",12.96,2015-03-15
"631",12.89,2015-03-16
"632",12.88,2015-03-17
"633",12.88,2015-03-18
"634",12.86,2015-03-19
"635",12.82,2015-03-20
"636",12.82,2015-03-21
"637",12.82,2015-03-22
"638",12.82,2015-03-23
"639",12.82,2015-03-24
"640",12.81,2015-03-25
"641",12.79,2015-03-26
"642",12.78,2015-03-27
"643",12.78,2015-03-28
"644",12.78,2015-03-29
"645",12.75,2015-03-30
"646",12.62,2015-03-31
"647",12.62,2015-04-01
"648",12.55,2015-04-02
"649",12.55,2015-04-03
"650",12.55,2015-04-04
"651",12.55,2015-04-05
"652",12.5,2015-04-06
"653",12.49,2015-04-07
"654",12.39,2015-04-08
"655",12.45,2015-04-09
"656",12.39,2015-04-10
"657",12.4,2015-04-11
"658",12.4,2015-04-12
"659",12.4,2015-04-13
"660",12.42,2015-04-14
"661",12.52,2015-04-15
"662",12.8,2015-04-16
"663",12.71,2015-04-17
"664",12.71,2015-04-18
"665",12.71,2015-04-19
"666",12.7,2015-04-20
"667",12.68,2015-04-21
"668",12.71,2015-04-22
"669",12.79,2015-04-23
"670",12.8,2015-04-24
"671",12.8,2015-04-25
"672",12.8,2015-04-26
"673",12.79,2015-04-27
"674",12.7,2015-04-28
"675",12.73,2015-04-29
"676",12.73,2015-04-30
"677",12.7,2015-05-01
"678",12.7,2015-05-02
"679",12.7,2015-05-03
"680",12.7,2015-05-04
"681",12.61,2015-05-05
"682",12.6,2015-05-06
"683",12.6,2015-05-07
"684",12.59,2015-05-08
"685",12.57,2015-05-09
"686",12.57,2015-05-10
"687",12.57,2015-05-11
"688",12.53,2015-05-12
"689",12.55,2015-05-13
"690",12.62,2015-05-14
"691",12.65,2015-05-15
"692",12.65,2015-05-16
"693",12.65,2015-05-17
"694",12.66,2015-05-18
"695",12.7,2015-05-19
"696",12.7,2015-05-20
"697",12.64,2015-05-21
"698",12.65,2015-05-22
"699",12.65,2015-05-23
"700",12.65,2015-05-24
"701",12.65,2015-05-25
"702",12.65,2015-05-26
"703",12.72,2015-05-27
"704",12.7,2015-05-28
"705",12.7,2015-05-29
"706",12.7,2015-05-30
"707",12.7,2015-05-31
"708",12.7,2015-06-01
"709",12.65,2015-06-02
"710",12.66,2015-06-03
"711",12.65,2015-06-04
"712",12.64,2015-06-05
"713",12.65,2015-06-06
"714",12.65,2015-06-07
"715",12.62,2015-06-08
"716",12.62,2015-06-09
"717",12.62,2015-06-10
"718",12.62,2015-06-11
"719",12.67,2015-06-12
"720",12.68,2015-06-13
"721",12.68,2015-06-14
"722",12.68,2015-06-15
"723",12.7,2015-06-16
"724",12.85,2015-06-17
"725",12.95,2015-06-18
"726",13.08,2015-06-19
"727",13.02,2015-06-20
"728",13.02,2015-06-21
"729",13.02,2015-06-22
"730",13.05,2015-06-23
"731",13.35,2015-06-24
"732",13.57,2015-06-25
"733",13.52,2015-06-26
"734",13.28,2015-06-27
"735",13.28,2015-06-28
"736",13.29,2015-06-29
"737",13.4,2015-06-30
"738",13.4,2015-07-01
"739",13.55,2015-07-02
"740",13.48,2015-07-03
"741",13.48,2015-07-04
"742",13.48,2015-07-05
"743",13.45,2015-07-06
"744",13.45,2015-07-07
"745",13.6,2015-07-08
"746",13.6,2015-07-09
"747",13.62,2015-07-10
"748",13.62,2015-07-11
"749",13.62,2015-07-12
"750",13.63,2015-07-13
"751",13.85,2015-07-14
"752",14,2015-07-15
"753",13.94,2015-07-16
"754",14.11,2015-07-17
"755",14.22,2015-07-18
"756",14.22,2015-07-19
"757",14.22,2015-07-20
"758",14.55,2015-07-21
"759",15.09,2015-07-22
"760",14.89,2015-07-23
"761",14.64,2015-07-24
"762",14.49,2015-07-25
"763",14.49,2015-07-26
"764",14.5,2015-07-27
"765",14.65,2015-07-28
"766",14.95,2015-07-29
"767",14.94,2015-07-30
"768",14.94,2015-07-31
"769",14.94,2015-08-01
"770",14.94,2015-08-02
"771",14.94,2015-08-03
"772",14.9,2015-08-04
"773",14.94,2015-08-05
"774",14.96,2015-08-06
"775",14.98,2015-08-07
"776",14.92,2015-08-08
"777",14.92,2015-08-09
"778",14.92,2015-08-10
"779",14.82,2015-08-11
"780",14.83,2015-08-12
"781",14.89,2015-08-13
"782",14.97,2015-08-14
"783",15.1,2015-08-15
"784",15.1,2015-08-16
"785",15.1,2015-08-17
"786",15.1,2015-08-18
"787",15.1,2015-08-19
"788",15.175,2015-08-20
"789",15.45,2015-08-21
"790",15.55,2015-08-22
"791",15.55,2015-08-23
"792",15.67,2015-08-24
"793",15.84,2015-08-25
"794",15.97,2015-08-26
"795",15.92,2015-08-27
"796",15.67,2015-08-28
"797",15.53,2015-08-29
"798",15.53,2015-08-30
"799",15.53,2015-08-31
"800",15.47,2015-09-01
"801",15.51,2015-09-02
"802",15.62,2015-09-03
"803",15.6,2015-09-04
"804",15.48,2015-09-05
"805",15.48,2015-09-06
"806",15.48,2015-09-07
"807",15.45,2015-09-08
"808",15.55,2015-09-09
"809",15.55,2015-09-10
"810",15.54,2015-09-11
"811",15.52,2015-09-12
"812",15.52,2015-09-13
"813",15.57,2015-09-14
"814",15.62,2015-09-15
"815",15.68,2015-09-16
"816",15.85,2015-09-17
"817",15.91,2015-09-18
"818",15.86,2015-09-19
"819",15.86,2015-09-20
"820",15.86,2015-09-21
"821",15.9,2015-09-22
"822",15.94,2015-09-23
"823",15.95,2015-09-24
"824",16.01,2015-09-25
"825",16.06,2015-09-26
"826",16.06,2015-09-27
"827",16.02,2015-09-28
"828",16.01,2015-09-29
"829",16,2015-09-30
"830",15.99,2015-10-01
"831",15.89,2015-10-02
"832",15.89,2015-10-03
"833",15.89,2015-10-04
"834",15.89,2015-10-05
"835",15.8,2015-10-06
"836",15.74,2015-10-07
"837",15.75,2015-10-08
"838",15.77,2015-10-09
"839",15.83,2015-10-10
"840",15.83,2015-10-11
"841",15.83,2015-10-12
"842",15.83,2015-10-13
"843",15.83,2015-10-14
"844",15.83,2015-10-15
"845",15.84,2015-10-16
"846",15.94,2015-10-17
"847",15.94,2015-10-18
"848",15.94,2015-10-19
"849",16.11,2015-10-20
"850",15.92,2015-10-21
"851",15.92,2015-10-22
"852",16.03,2015-10-23
"853",16.06,2015-10-24
"854",16.06,2015-10-25
"855",16.06,2015-10-26
"856",15.81,2015-10-27
"857",15.85,2015-10-28
"858",15.9,2015-10-29
"859",15.77,2015-10-30
"860",15.75,2015-10-31
"861",15.75,2015-11-01
"862",15.75,2015-11-02
"863",15.63,2015-11-03
"864",15.51,2015-11-04
"865",15.46,2015-11-05
"866",15.14,2015-11-06
"867",15.14,2015-11-07
"868",15.14,2015-11-08
"869",15.14,2015-11-09
"870",14.45,2015-11-10
"871",14.7,2015-11-11
"872",15.27,2015-11-12
"873",15.27,2015-11-13
"874",15.05,2015-11-14
"875",15.05,2015-11-15
"876",15.1,2015-11-16
"877",15.1,2015-11-17
"878",15.35,2015-11-18
"879",15.2,2015-11-19
"880",15.1,2015-11-20
"881",15.07,2015-11-21
"882",15.07,2015-11-22
"883",15.1,2015-11-23
"884",15.19,2015-11-24
"885",15.12,2015-11-25
"886",15.1,2015-11-26
"887",14.96,2015-11-27
"888",14.96,2015-11-28
"889",14.96,2015-11-29
"890",14.96,2015-11-30
"891",14.74,2015-12-01
"892",14.8,2015-12-02
"893",14.8,2015-12-03
"894",14.73,2015-12-04
"895",14.81,2015-12-05
"896",14.81,2015-12-06
"897",14.81,2015-12-07
"898",14.81,2015-12-08
"899",14.73,2015-12-09
"900",14.73,2015-12-10
"901",14.77,2015-12-11
"902",14.86,2015-12-12
"903",14.86,2015-12-13
"904",14.77,2015-12-14
"905",14.69,2015-12-15
"906",14.57,2015-12-16
"907",14.52,2015-12-17
"908",14.28,2015-12-18
"909",14.2,2015-12-19
"910",14.2,2015-12-20
"911",14.115,2015-12-21
"912",13.9,2015-12-22
"913",13.92,2015-12-23
"914",14.1,2015-12-24
"915",14.1,2015-12-25
"916",14.1,2015-12-26
"917",14.1,2015-12-27
"918",14.1,2015-12-28
"919",14.365,2015-12-29
"920",14.41,2015-12-30
"921",14.32,2015-12-31
"922",14.32,2016-01-01
"923",14.32,2016-01-02
"924",14.32,2016-01-03
"925",14.26,2016-01-04
"926",14.2,2016-01-05
"927",14.4,2016-01-06
"928",14.43,2016-01-07
"929",14.44,2016-01-08
"930",14.45,2016-01-09
"931",14.45,2016-01-10
"932",14.45,2016-01-11
"933",14.44,2016-01-12
"934",14.38,2016-01-13
"935",14.4,2016-01-14
"936",14.41,2016-01-15
"937",14.38,2016-01-16
"938",14.38,2016-01-17
"939",14.38,2016-01-18
"940",14.37,2016-01-19
"941",14.37,2016-01-20
"942",14.35,2016-01-21
"943",14.36,2016-01-22
"944",14.35,2016-01-23
"945",14.35,2016-01-24
"946",14.35,2016-01-25
"947",14.36,2016-01-26
"948",14.37,2016-01-27
"949",14.37,2016-01-28
"950",14.27,2016-01-29
"951",14.27,2016-01-30
"952",14.27,2016-01-31
"953",14.29,2016-02-01
"954",14.295,2016-02-02
"955",14.295,2016-02-03
"956",14.28,2016-02-04
"957",14.325,2016-02-05
"958",14.335,2016-02-06
"959",14.335,2016-02-07
